fullname,nickname,year,make,model,specialAccess,dlcPack,rewardOrGift,directAccess,carValue,rarity,feBoost,carType,spec,class,pi,speed,handling,acceleration,launch,braking,offroad,hp,torque,weight,weightPerHp,weightDistribution,displ,aspiration,engineType,cylinders,enginePlacement,drive,rTireWidth,trackWidth,aeroorkitOptions,engineConversions(hp),pirwd,piawd,aspirationOptions,naturallyAspirated,region,country,modelFamily,openTop,doors,steering,wheels,nolights,carThemes,zeroToSixty,zeroToHundred,quarterMile,topSpeed,sixtyToZeroFeet,hundredToZeroFeet,gAtSixty,gAtHundred,sixtyToHundred,forzaDebut,unknown,latestgame,newtoForza,fh5,fh4,fm7,fh3,fm6,fh2,fm5,fh1,fm4,fm3,fm2,fm1,titlesCount,xboxgen
2006 Acura RL A-Spec,,2006,Acura,RL A-Spec,,,,,,,,,Factory,D,399,,,,,,,,,,#DIV/0!,,,,,,F,AWD,,,,,,,,,N. America,U.S.,,,4,L,4,,,,,,,,,,,,5/29/2007,2,FM2,FM2,,,,,,,,,,,FM2,,1,360
2005 Acura Forza Motorsport NSX,,2005,Acura,Forza Motorsport NSX,DLC promo,,,,,,,Coupe,Upgraded,R3,711,8.2,6.4,8.1,7.7,6.4,,561,387,2575,4.59,,,,,6,M,RWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,,,3,FM3,FM3,,,,,,,,,,DLC,,,1,360
2005 Acura NSX,,2005,Acura,NSX,,,,,,,,Sports,Factory,B,476,,,,,,,290,225,3100,10.69,,3179,NA,V,6,M,RWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,5,,,179.8,,,,,,5/3/2005,1,FM4,FM1,,,,,,,,,FM4,FM3,FM2,FM1,4,360
2003 Acura 3.2 CL Type-S,,2003,Acura,3.2 CL Type-S,,,,,,,,,Factory,D2,,5.3,4.2,4.8,,4.1,,260,232,3446,13.25,62,3200,PDS,V,6,F,FWD,,,,,,,,,Asia,Japan,,,2,L,4,,,,,,,,,,,,5/3/2005,1,FM1,FM1,,,,,,,,,,,,FM1,1,360
2002 Acura #42 Realtime Racing NSX,#42 Acura NSX,2002,Acura,#42 Realtime Racing NSX,,,,,,,,GT3,Race,S,657,6.3,6.6,7.3,7.4,6.6,,362,269,2524,6.97,,,,,6,M,RWD,275,,,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,,5/3/2005,1,FM3,FM1,,,,,,,,,,FM3,FM2,FM1,3,360
2002 Acura RSX Type-S,Acura RSX,2002,Acura,RSX Type-S,Autoshow,,,,25000,Common,,Retro Hot Hatch,Factory,C,585,5.6,5.1,3.9,3,3.5,5.3,200,142,2820,14.1,61,1998,NA,Inline,4,F,FWD,205,Both,Sport,300,,,"T, CS",stock,N. America,U.S.,Integra,,2,L,4,,"RPC, DD",6.717,18.019,15.2,148.4,143.8,362.1,0.9,0.92,11.302,5/3/2005,1,FH5,FM1,FH5,FH4,FM7,FH3,FM6,FH2,DLC,,FM4,FM3,FM2,FM1,11,XBO
2001 Acura Integra Type-R,Acura Integra,2001,Acura,Integra Type-R,Autoshow,,,,25000,Common,,Retro Hot Hatch,Factory,C,596,5.6,5.1,3.9,3.1,3.4,5.1,195,130,2639,13.53,62,1797,NA,Inline,4,F,FWD,195,Both,Forza,"212, 300",,,"T, PDS, CS",stock,N. America,U.S.,Integra,,2,L,4,,"RPC, DD",6.216,14.716,14.783,155.5,145.9,366.1,0.9,0.91,8.5,5/3/2005,1,FH5,FM1,FH5,FH4,FM7,FH3,FM6,DLC,FM5,,FM4,FM3,FM2,FM1,11,XBO
2000 Acura VIS Racing Integra Type-R,VIS Integra,2000,Acura,VIS Racing Integra Type-R,,,,,,,,,Race,C,507,,,,,,,225,145,2425,10.78,62,,NA,,,F,FWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,,5/3/2005,1,FM2,FM1,,,,,,,,,,,FM2,FM1,2,360
1997 Acura NSX,,1997,Acura,NSX,,,,,,,,Sports,Factory,B,471,,,,,,,276,224,2998,10.86,,3200,NA,V,6,M,RWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,4.9,,,173.4,,,,,,5/3/2005,1,FM4,FM1,,,,,,,,,FM4,FM3,FM2,FM1,4,360
2020 Alejandra's Flatbed Truck,,2020,Alejandra's,Flatbed Truck,Horizon Promo,,,,,,,,Traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,FH5,FH5,HP,,,,,,,,,,,,1,XBO
2018 Alfa Romeo Stelvio Quadrifoglio,Alfa Romeo Stelvio,2018,Alfa Romeo,Stelvio Quadrifoglio,DLC store,,,,80000,Common,,Sports Utility Heroes,Factory,A,752,7.2,5.9,9,10,6.3,,506,442,4361,8.62,50,2891,TT,V,6,F,AWD,285,Both,Forza,"506, 602, 562v8, 660",,,none,eng,Europe,Italy,,,5,L,4,,,3.9,9.5,,180.2,222.9,437.2,0.88,0.88,5.6,10/23/2018,11,FH4,FH4,,DLC,,,,,,,,,,,1,XBO
2017 Alfa Romeo Giulia Quadrifoglio,Alfa Giulia '17,2017,Alfa Romeo,Giulia Quadrifoglio,,,,,120000,Rare,,Super Saloons,Factory,A,795,7.7,7.2,6.9,8.5,7.9,,506,442,3822,7.55,50,2891,TT,V,6,F,RWD,285,Both,Forza,"506, 562v8",795,803,none,eng,Europe,Italy,,,4,L,4,,,3.8,8.715,12.283,196.6,152.7,342.6,1.02,1.08,4.915,,10,FH4,FM7,,FH4,DLC,,,,,,,,,,2,XBO
2016 Alfa Romeo Giulia Quadrifoglio Forza Edition,Alfa Giulia FE,2016,Alfa Romeo,Giulia Quadrifoglio Forza Edition,Exclusive,,,,370000,FE,Event Influence,Super Saloons,Upgraded,S1,812,7.7,7.5,7.3,8.9,8.1,,506,442,3822,7.55,50,2891,TT,V,6,F,RWD,285,Both,Forza,"506, 602, 660",812,815,none,eng,Europe,Italy,,,4,L,4,,,4.4,10.6,,161.3,143.8,353.6,0.96,1.03,6.2,9/28/2018,11,FH4,FH4,,FE,,,,,,,,,,,1,XBO
2014 Alfa Romeo 4C,Alfa Romeo 4C,2014,Alfa Romeo,4C,,,,,74000,Common,,Modern Sports Cars,Factory,A,770,6.6,7.1,6.5,8.8,7,,240,238,2072,8.63,43,1742,T,Inline,4,M,RWD,235,Both,Safety Lights,"321, 300, 475",770,771,none,eng,Europe,Italy,,,2,L,4,,,4.4,10.6,13.133,161.3,143.8,353.6,0.96,1.03,6.2,,7,FH4,FH2,,FH4,FM7,FH3,FM6,DLC,,,,,,,5,XBO
2011 Alfa Romeo Giulietta Quadrifoglio Verde,Alfa Giulietta,2011,Alfa Romeo,Giulietta Quadrifoglio Verde,,,,,,,,Modern Hot Hatch,Factory,D,391,5.7,4.5,6.7,,4.2,,231,251,2910,12.6,63,1742,T,Inline,4,F,FWD,225,,,,,,,eng,Europe,Italy,,,5,L,4,,,6.6,17.5,14.4,154.5,140.9,336.2,1.07,1.02,10.9,,4,FM7,FM4,,,FM7,,FM6,FH2,DLC,,DLC,,,,5,XBO
2011 Alfa Romeo TZ3 Stradale Zagato,,2011,Alfa Romeo,TZ3 Stradale Zagato,,,,,,,,Sports,Factory,S,664,,,,,,,640,584,3190,4.98,,8400,NA,V,10,F,RWD,,,,,,,,,Europe,Italy,,,2,L,4,,,,,,,,,,,,,5,FH1,FH1,,,,,,,,DLC,,,,,1,360
2010 Alfa Romeo 8C Spider,,2010,Alfa Romeo,8C Spider,,,,,,,,Open Top,Factory,A,556,,,,,,,450,354,3695,8.21,,,,,8,F,RWD,,,,,,,,,Europe,Italy,,Yes,2,L,4,,,,,,,,,,,,,5,FH1,FH1,,,,,,,,DLC,,,,,1,360
2009 Alfa Romeo Brera Italia Independent,,2009,Alfa Romeo,Brera Italia Independent,,,,,,,,Hatch,Factory,D,347,,,,,,,256,237,3594,14.04,,,,V,6,F,AWD,,,,,,,,,Europe,Italy,,,2,L,4,,,7,,,147.4,,,,,,5/27/2009,3,FM4,FM3,,,,,,,,,FM4,FM3,,,2,360
2008 Alfa Romeo MiTo,,2008,Alfa Romeo,MiTo,,,,,,,,Hatch,Factory,D,292,,,,,,,153,169,2524,16.5,,,,Inline,4,F,FWD,,,,,,,,,Europe,Italy,,,2,L,4,,,7.7,,,137.1,,,,,,5/27/2009,3,FM4,FM3,,,,,,,,,FM4,FM3,,,2,360
2007 Alfa Romeo 8C Competizione,Alfa Romeo 8C,2007,Alfa Romeo,8C Competizione,,,,,300000,Legendary,,GT Cars,Factory,A,777,7.5,6.6,6.6,8.2,6.8,,450,354,3495,7.77,49,4691,NA,V,8,F,RWD,285,Both,Forza,"510, 602",777,776,CS,stock,Europe,Italy,,,2,L,4,,CS,4.2,9.316,12.4,193.7,151.3,355.5,0.92,0.97,5.116,5/27/2009,3,FH4,FM3,,FH4,FM7,FH3,FM6,FH2,FM5,FH1,FM4,FM3,,,9,XBO
2007 Alfa Romeo 8C Competizione Forza Edition,Alfa Romeo 8C FE,2007,Alfa Romeo,8C Competizione Forza Edition,Exclusive,,,,550000,FE,Credits,GT Cars,Upgraded,S1,855,7.5,8.4,8,9.4,8.6,,450,354,3086,6.86,49,4691,NA,V,8,F,RWD,285,Both,Forza,"510, 602",855,850,CS,stock,Europe,Italy,,,2,L,4,,CS,4.2,9.3,,194.6,134.7,302.6,1.34,1.46,5.1,9/28/2018,11,FH4,FH4,,FE,,,,,,,,,,,1,XBO
1992 Alfa Romeo 155 Q4 ,Alfa Romeo 155,1992,Alfa Romeo,155 Q4 ,Exclusive,,,,250000,Epic,,Retro Saloons,Factory,C,541,6.2,5,5.8,7.9,4.7,,187,219,3064,16.39,61,1995,T,Inline,4,F,AWD,205,Both,"Aftermarket, Bodykit","300, 506, 450, 360",541,551,none,no,Europe,Italy,,,4,L,4,,RPC,6.7,18.6,14.183,147.4,182.8,473.3,0.79,0.78,11.9,,4,FH4,FM4,,cu,FM7,FH3,FM6,,,,DLC,,,,5,XBO
1992 Alfa Romeo Milano Quadrifoglio Verde,Alfa Milano,1992,Alfa Romeo,Milano Quadrifoglio Verde,,,,,,,,Early Sport Touring,Factory,E,291,5.1,4,6,,3.9,,185,181,2866,15.49,51,2959,NA,V,6,F,RWD,,,,,,,,stock,Europe,Italy,,,4,L,4,,RPC,8.122,21.596,15.988,134.3,148,367.1,1,0.95,13.474,,8,FM7,FM6,,,FM7,FH3,DLC,,,,,,,,3,XBO
1990 Alfa Romeo SZ Sprint Zagato,Alfa Romeo SZ,1990,Alfa Romeo,SZ Sprint Zagato,,,,,,,,Early Sport Touring,Factory,D,369,5.7,4.7,6.4,,4.4,,207,181,2778,13.42,56,,NA,V,6,F,RWD,,,,,,,,stock,Europe,Italy,,,2,L,4,,,7,18.7,14.817,152.6,138.6,344.1,1.09,1.07,11.7,,6,FM7,FM5,,,FM7,,FM6,,DLC,,,,,,3,XBO
1986 Alfa Romeo GTV-6,Alfa Romeo GTV-6,1986,Alfa Romeo,GTV-6,,,,,,,,Early Sport Touring,Factory,E,276,4.9,4,5.7,,3.9,,155,157,2840,18.32,51,2500,NA,V,6,F,RWD,,,,,,,,stock,Europe,Italy,,,2LB,L,4,,,9.1,25.2,16.8,131.4,143.5,364.7,1,0.96,16.1,5/13/2011,4,FM7,FM4,,,FM7,,FM6,,DLC,,FM4,,,,4,XBO
1986 Alfa Romeo Spider Quadrifoglio Verde,Alfa Spider,1986,Alfa Romeo,Spider Quadrifoglio Verde,,,,,,,,Sport Compact Icons,Factory,E,259,4.6,4.2,5.3,,3.9,,115,119,2549,22.17,56,1962,NA,Inline,4,F,RWD,,,,,,,,stock,Europe,Italy,,Yes,2,L,4,,,9.8,36.7,17.017,121.6,143,357.8,1.02,0.97,26.9,12/6/2011,4,FM7,FM4,,,FM7,,FM6,FH2,DLC,,DLC,,,,5,XBO
1970 Alfa Romeo Montreal,Alfa Montreal,1970,Alfa Romeo,Montreal,,,,,,,,Vintage Sport GT,Factory,E,288,5.5,4,5.9,,3.7,,200,174,2810,14.05,55,2600,NA,V,8,F,RWD,,,,,,,,stock,Europe,Italy,,,2,L,4,,,8,21.2,15.55,146.8,135.5,347.8,0.99,0.96,13.2,5/13/2011,4,FM7,FM4,,,FM7,,,,,,FM4,,,,2,XBO
1968 Alfa Romeo 33 Stradale,Alfa Romeo 33S,1968,Alfa Romeo,33 Stradale,,,,,10000000,Legendary,,Classic Racers,Factory,A,716,6.9,5.8,6.9,8.6,5.5,,245,148,1543,6.3,40,1995,NA,V,8,M,RWD,315,Both,Forza,300,716,729,TT,stock,Europe,Italy,,,2,L,4,,"OR, CS, HR",5.5,11.8,11.633,170,163.9,403.2,0.86,0.85,6.3,,4,FH4,FM4,,FH4,FM7,FH3,FM6,FH2,DLC,,DLC,,,,7,XBO
1965 Alfa Romeo Giulia Sprint GTA Stradale,Alfa Romeo GTA,1965,Alfa Romeo,Giulia Sprint GTA Stradale,,,,,300000,Epic,,Rare Classics,Factory,D,432,5.1,4.6,5.4,6.9,4.5,,115,105,1676,14.57,54,1570,NA,Inline,4,F,RWD,165,Both,Forza,"321, 212, 300",,,"T, CS",stock,Europe,Italy,,,2,L,4,,,7.9,24,15.233,114.2,203,497.2,0.72,0.72,16.1,,3,FH4,FM3,,FH4,FM7,FH3,FM6,,FM5,,FM4,DLC,,,7,XBO
1965 Alfa Romeo Giulia TZ2,Alfa Romeo TZ2,1965,Alfa Romeo,Giulia TZ2,,,,,2500000,Legendary,,Classic Racers,Race,B,639,6.3,5.7,5.8,7,5.1,,170,130,1367,8.04,54,1570,NA,Inline,4,F,RWD,245,Both,Forza,"321, 300",639,653,T,stock,Europe,Italy,,,2,L,4,,"CS, HR",5.82,13.313,13.167,152.5,186.1,450.9,0.82,0.83,7.493,9/30/2014,7,FH4,FH2,,FH4,FM7,FH3,FM6,FH2,,,,,,,5,XBO
1958 Alfa Romeo Giulietta Sprint Veloce,Giulietta '58,1958,Alfa Romeo,Giulietta Sprint Veloce,,,,,,,,Vintage Sport Compact,Factory,E,228,4.1,3.6,5.2,,3.3,,90,97,1874,20.82,54,,NA,Inline,4,F,RWD,155,,,,,,,eng,Europe,Italy,,,2,L,4,,,10.518,36.5,17.333,110.7,137.8,349.2,0.95,0.87,25.982,7/2/2018,10,FM7,FM7,,,DLC,,,,,,,,,,1,XBO
1950 Alfa Romeo 158,Alfa Romeo 158,1950,Alfa Romeo,158,,,,,,,,The Birth of Grand Prix,Race,B,574,6.1,4.9,8.2,,4.5,,384,286,1568,4.08,52,,PDS,Inline,8,F,RWD,,,,,,,,no,Europe,Italy,,Yes,1,C,4,,,4.117,8.9,12.083,165.4,106.5,277.8,1.13,1.12,4.783,10/3/2017,10,FM7,FM7,,,FM7,,,,,,,,,,1,XBO
1934 Alfa Romeo P3,Alfa Romeo P3,1934,Alfa Romeo,P3,Exclusive,,,,10000000,Legendary,,Vintage Racers,Race,B,626,6.6,5,5.6,7.1,4.9,,285,300,1653,5.8,50,3165,PDS,Inline,8,F,RWD,145,no,none,510,626,718,none,no,Europe,Italy,,Yes,1,C,4,x,HR,4.489,9.2,12.067,157.9,187.7,461.7,0.74,0.73,4.711,,8,FH4,FM6,,Castle,FM7,,DLC,,,,,,,,3,XBO
1932 Alfa Romeo 8C 2300 Spider,Alfa 8C '32,1932,Alfa Romeo,8C 2300 Spider,,,,,,,,The Birth of Grand Prix,Race,E,290,4.4,4.2,6.5,,4.2,,155,173,2185,14.1,52,,PDS,Inline,8,F,RWD,,,,,,,,no,Europe,Italy,,Yes,1,R,4,,,9,23,14.7,120.5,116.5,295.6,1.02,0.98,14,3/5/2018,10,FM7,FM7,,,DLC,,,,,,,,,,1,XBO
2017 Alpine A110,Alpine A110 '17,2017,Alpine,A110,"WS, Seasonal",,,,67500,Epic,,Modern Sports Cars,Factory,B,694,6,6.4,5.4,5.7,4.2,4.2,248,236,2432,9.81,44,1798,T,Inline,4,M,RWD,235,Both,Forza,300,,,none,no,Europe,France,,,2,L,4,,,4.3,11.6,,164,138.1,339.9,0.98,1.06,7.3,12/12/2019,11,FH5,FH4,FH5,cu,,,,,,,,,,,2,XBO
1973 Alpine A110 1600s,Renault A110,1973,Alpine,A110 1600s,Autoshow,,,,98000,Rare,,Classic Rally,Factory,C,550,5,4.4,4.1,3.1,3,5.3,123,106,1576,12.81,40,1605,NA,Inline,4,R,RWD,165,no,Sport,"212, 305, 300",,,"T, PDS",stock,Europe,France,,,2,L,4,,,6.975,20.663,15.033,138,160.4,397.8,0.84,0.83,13.688,9/30/2014,7,FH5,FH2,FH5,FH4,FM7,FH3,FM6,FH2,,,,,,,6,XBO
2015 Alumi Craft Class 10 Race Car,Alumi Craft C.10,2015,Alumi Craft,Class 10 Race Car,Autoshow,,,,300000,Epic,,Unlimited Buggies,Race,B,642,4.4,3.8,5,4.1,4.8,10,196,190,2200,11.22,45,2384,NA,Inline,4,R,RWD,265,no,none,300,,,none,stock,N. America,U.S.,,side,2,L,4,,,5.079,16.433,14.367,121.9,132.6,326.9,0.91,0.91,11.354,9/27/2016,9,FH5,FH3,FH5,FH4,FM7,FH3,,,,,,,,,4,XBO
2015 Alumi Craft Class 10 Race Car Forza Edition,Alumi Craft FE,2015,Alumi Craft,Class 10 Race Car Forza Edition,Exclusive,,,,350000,FE,Destruction,Offroad Buggies,Upgraded,B,679,5.3,6.5,6.8,8.1,6.3,,196,190,2200,11.22,45,2384,NA,Inline,4,R,RWD,265,no,Preset,300,,,none,stock,N. America,U.S.,,side,2,L,4,,,5.581,17.079,,122.9,158.4,389.3,0.86,0.85,11.498,9/28/2018,11,FH4,FH4,,FE,,,,,,,,,,,1,XBO
1977 AMC Pacer X,AMC Pacer,1977,AMC,Pacer X,,,,,,,,Hot Hatch Genesis,Factory,E,209,4.3,3.5,4.5,5.1,3.3,,120,212,3425,28.54,55,4229,NA,Inline,6,F,RWD,,,,,,,,stock,N. America,U.S.,,,3,L,4,,IMC?,13.381,43.88,18.583,113.6,150.6,381.5,0.93,0.88,30.499,,4,FM7,FM4,,,FM7,cu,,,,,DLC,,,,3,XBO
1973 AMC Gremlin X,AMC Gremlin,1973,AMC,Gremlin X,Autoshow,,,,35000,Common,,Cult Cars,Factory,D,403,4,3.9,3.4,3.4,2.3,5.2,150,245,2840,18.93,54,4971,NA,V,8,F,RWD,205,Both,Hood,"415, 475, 640, 425, 700",,,"TT, PDS",stock,N. America,U.S.,,,2,L,4,,,9.6,25.083,,112.1,173.4,424.6,0.78,0.78,15.483,,4,FH5,FM4,FH5,FH4,,DLC,,,,,DLC,,,,4,XBO
1971 AMC Javelin AMX,AMC Javelin,1971,AMC,Javelin AMX,,,,,35000,Common,,Classic Muscle,Factory,C,512,5.4,4.5,5.2,6.6,4.2,,330,430,3445,10.44,53,3445,NA,V,8,F,RWD,215,Rear,Hood,"415, 640, 700",512,534,"TT, PDS",stock,N. America,U.S.,,,2,L,4,,,6.5,15.5,14.3,126.2,202.2,500.8,0.73,0.73,9,,3,FH4,FM3,,FH4,FM7,FH3,FM6,FH2,FM5,DLC,FM4,DLC,,,9,XBO
"1970 AMC Rebel ""The Machine""",AMC Rebel,1970,AMC,"Rebel ""The Machine""",Exclusive,,,,250000,Legendary,,Classic Muscle,Factory,C,541,5.9,4.6,5.3,6.8,4.4,,340,427,3650,10.74,55,6392,NA,V,8,F,RWD,215,Both,Hood,"415, 640, 700, 850, 1750",541,558,"TT, PDS",stock,N. America,U.S.,,,2,L,4,,,6.4,14.5,13.917,141.1,205.8,500.2,0.72,0.72,8.1,,7,FH4,FH2,,cu,FM7,FH3,FM6,DLC,,,,,,,5,XBO
2554 AMG Transport Dynamics M12S Warthog CST,M12S Warthog CST,2554,AMG Transport Dynamics,M12S Warthog CST,Autoshow,,,,850000,Legendary,,Unlimited Offroad,Fantasy,A,719,4.2,4,8.6,10,6.7,10,720,855,5071,7.04,54,8003,TT,V,8,F,AWD,420,no,none,"800, 850",,,none,no,N. America,U.S.,,Yes,2,L,4,,Heavy,3.535,9.229,,116.9,118.9,268.8,0.96,0.96,5.694,,9,FH5,FH3,FH5,FH4,,cu,,,,,,,,,3,XBO
2018 Apollo Intensa Emozione,Apollo IE '18,2018,Apollo,Intensa Emozione,Autoshow,,,,1500000,Legendary,,Extreme Track Toys,Factory,S2,963,7.4,10,7.7,8.4,10,3.9,780,560,2756,3.53,45,6300,NA,V,12,M,RWD,325,no,Adjustable,"750, 850",,,TT,stock,Europe,Germany,,,2,R,4,,,2.583,5.183,,204.5,68.9,153.1,1.73,2.2,2.6,5/7/2019,11,FH5,FH4,FH5,cu,,,,,,,,,,,2,XBO
2018 Apollo Intensa Emozione 'Welcome Pack',Apollo IE WP,2018,Apollo,Intensa Emozione 'Welcome Pack',DLC Autoshow,FH5 Welcome Pack,Free w/DLC,,1500000,Common,,Extreme Track Toys,Upgraded,S2,998,7.6,10,7.9,8.6,10,3.8,930,634,2480,2.67,45,6300,NA,V,12,M,RWD,,no,Adjustable,"750, 850",,,TT,stock,Europe,Germany,,,2,R,4,,,2.547,5.139,,211,66.5,146.7,1.78,2.33,2.592,11/5/2021,12,FH5,FH5,DLC,,,,,,,,,,,,1,XBO
