Id,DrivetrainID,Level,IsStock,ManufacturerID,MassDiff,Price,MomentInertia,GearShiftTime,FinalDriveRatio,NumGears,GearRatio0,GearRatio1,GearRatio2,GearRatio3,GearRatio4,GearRatio5,GearRatio6,GearRatio7,GearRatio8,CVTShiftTime,GearRatio9,GearRatio10
13000,13,0,1,0,0.0,0,0.0114,0.22,4.429,6,-3.325,3.182,1.834,1.261,0.925,0.724,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13002,13,2,0,0,0.0,1600,0.0091,0.16,4.43,6,-3.325,3.182,1.834,1.261,0.925,0.724,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13003,13,3,0,0,0.0,2400,0.008,0.02,3.67,7,-3.325,4.14,2.67,1.82,1.33,1.0,0.8,-1.0,-1.0,-1.0,-1.0,-1.0
13004,13,7,0,0,4.0,3000,0.008,0.02,3.6701,8,-3.325,4.15,2.69,1.9,1.42,1.12,0.95,0.8,-1.0,-1.0,-1.0,-1.0
13005,13,8,0,0,6.0,3000,0.008,0.02,3.2623,9,-3.325,4.17,2.95,2.2,1.71,1.38,1.17,1.02,0.9,-1.0,-1.0,-1.0
13006,13,9,0,0,8.0,3000,0.008,0.02,3.8131,10,-3.325,4.17,2.9,2.15,1.66,1.34,1.13,0.98,0.86,-1.0,0.77,-1.0
13007,13,10,0,0,10.0,3000,0.008,0.02,4.0779,11,-3.325,4.17,2.73,1.94,1.49,1.21,1.04,0.92,0.84,-1.0,0.78,0.72
14000,14,0,1,0,0.0,0,0.0093,0.16,3.444,7,-2.857,3.82,2.048,1.407,1.118,0.928,0.775,-1.0,-1.0,-1.0,-1.0,-1.0
14001,14,2,0,0,0.0,1600,0.0075,0.16,3.44,7,-2.857,3.82,2.048,1.407,1.118,0.928,0.775,-1.0,-1.0,-1.0,-1.0,-1.0
14002,14,3,0,0,0.0,2400,0.0065,0.02,3.34,7,-2.857,4.14,2.67,1.82,1.33,1.0,0.8,-1.0,-1.0,-1.0,-1.0,-1.0
14003,14,7,0,0,2.0,3000,0.0065,0.02,3.4849,8,-2.857,4.15,2.69,1.9,1.42,1.12,0.95,0.8,-1.0,-1.0,-1.0,-1.0
14004,14,8,0,0,4.0,3000,0.0065,0.02,3.0977,9,-2.857,4.17,2.95,2.2,1.71,1.38,1.17,1.02,0.9,-1.0,-1.0,-1.0
14005,14,9,0,0,6.0,3000,0.0065,0.02,3.6207,10,-2.857,4.17,2.9,2.15,1.66,1.34,1.13,0.98,0.86,-1.0,0.77,-1.0
14006,14,10,0,0,8.0,3000,0.0065,0.02,3.8721,11,-2.857,4.17,2.73,1.94,1.49,1.21,1.04,0.92,0.84,-1.0,0.78,0.72
15000,15,0,1,0,0.0,0,0.0093,0.16,3.44,7,-2.86,3.82,2.15,1.56,1.21,1.0,0.85,-1.0,-1.0,-1.0,-1.0,-1.0
15002,15,2,0,0,0.0,1600,0.0075,0.16,3.44,7,-2.86,3.82,2.15,1.56,1.21,1.0,0.85,-1.0,-1.0,-1.0,-1.0,-1.0
15003,15,3,0,0,0.0,2400,0.0065,0.02,3.66,7,-2.86,4.14,2.67,1.82,1.33,1.0,0.8,-1.0,-1.0,-1.0,-1.0,-1.0
15004,15,7,0,0,2.0,3000,0.0065,0.02,3.7835,8,-2.86,4.15,2.69,1.9,1.42,1.12,0.95,0.8,-1.0,-1.0,-1.0,-1.0
15005,15,8,0,0,4.0,3000,0.0065,0.02,3.3631,9,-2.86,4.17,2.95,2.2,1.71,1.38,1.17,1.02,0.9,-1.0,-1.0,-1.0
15006,15,9,0,0,6.0,3000,0.0065,0.02,3.9309,10,-2.86,4.17,2.9,2.15,1.66,1.34,1.13,0.98,0.86,-1.0,0.77,-1.0
15007,15,10,0,0,8.0,3000,0.0065,0.02,4.2039,11,-2.86,4.17,2.73,1.94,1.49,1.21,1.04,0.92,0.84,-1.0,0.78,0.72
18000,18,0,1,0,0.0,0,0.0102,0.16,4.22,5,-2.43,2.25,1.3,0.89,0.65,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18002,18,2,0,0,0.0,1600,0.0081,0.16,4.22,5,-2.43,2.25,1.3,0.89,0.65,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18003,18,3,0,0,0.0,2400,0.0071,0.02,3.43,7,-2.43,4.14,2.67,1.82,1.33,1.0,0.8,-1.0,-1.0,-1.0,-1.0,-1.0
18004,18,7,0,0,6.0,3000,0.0071,0.02,3.511,8,-2.43,4.15,2.69,1.9,1.42,1.12,0.95,0.8,-1.0,-1.0,-1.0,-1.0
18005,18,8,0,0,8.0,3000,0.0071,0.02,3.1209,9,-2.43,4.17,2.95,2.2,1.71,1.38,1.17,1.02,0.9,-1.0,-1.0,-1.0
18006,18,9,0,0,10.0,3000,0.0071,0.02,3.6478,10,-2.43,4.17,2.9,2.15,1.66,1.34,1.13,0.98,0.86,-1.0,0.77,-1.0
18007,18,10,0,0,12.0,3000,0.0071,0.02,3.9011,11,-2.43,4.17,2.73,1.94,1.49,1.21,1.04,0.92,0.84,-1.0,0.78,0.72
19000,19,0,1,0,0.0,0,0.0127,0.22,4.43,6,-3.676,3.09,1.78,1.26,0.93,0.76,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19001,19,1,0,0,0.0,800,0.0114,0.22,3.07,6,-3.676,2.89,1.99,1.49,1.16,0.94,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19002,19,2,0,0,0.0,1600,0.0101,0.16,3.07,6,-3.676,2.89,1.99,1.49,1.16,0.94,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19003,19,3,0,0,0.0,2400,0.0089,0.02,3.25,7,-3.676,4.14,2.67,1.82,1.33,1.0,0.8,-1.0,-1.0,-1.0,-1.0,-1.0
19004,19,7,0,0,4.0,3000,0.0089,0.02,3.2513,8,-3.676,4.15,2.69,1.9,1.42,1.12,0.95,0.8,-1.0,-1.0,-1.0,-1.0
19005,19,8,0,0,6.0,3000,0.0089,0.02,2.8901,9,-3.676,4.17,2.95,2.2,1.71,1.38,1.17,1.02,0.9,-1.0,-1.0,-1.0
19006,19,9,0,0,8.0,3000,0.0089,0.02,3.378,10,-3.676,4.17,2.9,2.15,1.66,1.34,1.13,0.98,0.86,-1.0,0.77,-1.0
19007,19,10,0,0,10.0,3000,0.0089,0.02,3.6126,11,-3.676,4.17,2.73,1.94,1.49,1.21,1.04,0.92,0.84,-1.0,0.78,0.72
21000,21,0,1,0,0.0,0,0.013,0.16,3.38,6,-3.5,3.5,2.06,1.4,1.03,0.83,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21002,21,2,0,0,0.0,1600,0.0104,0.16,3.38,6,-3.5,3.5,2.06,1.4,1.03,0.83,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21003,21,3,0,0,0.0,2400,0.0091,0.02,3.3,7,-3.5,4.14,2.67,1.82,1.33,1.0,0.8,-1.0,-1.0,-1.0,-1.0,-1.0
21004,21,7,0,0,4.0,3000,0.0091,0.02,3.3025,8,-3.5,4.15,2.69,1.9,1.42,1.12,0.95,0.8,-1.0,-1.0,-1.0,-1.0
21005,21,8,0,0,6.0,3000,0.0091,0.02,2.9356,9,-3.5,4.17,2.95,2.2,1.71,1.38,1.17,1.02,0.9,-1.0,-1.0,-1.0
21006,21,9,0,0,8.0,3000,0.0091,0.02,3.4312,10,-3.5,4.17,2.9,2.15,1.66,1.34,1.13,0.98,0.86,-1.0,0.77,-1.0
21007,21,10,0,0,10.0,3000,0.0091,0.02,3.6694,11,-3.5,4.17,2.73,1.94,1.49,1.21,1.04,0.92,0.84,-1.0,0.78,0.72
22000,22,0,1,0,0.0,0,0.0123,0.16,4.13,7,-2.857,3.5,2.06,1.41,1.04,0.81,0.64,-1.0,-1.0,-1.0,-1.0,-1.0
22002,22,2,0,0,0.0,1600,0.0098,0.16,4.13,7,-2.857,3.5,2.06,1.41,1.04,0.81,0.64,-1.0,-1.0,-1.0,-1.0,-1.0
22003,22,3,0,0,0.0,2400,0.0086,0.02,3.3,7,-2.857,4.14,2.67,1.82,1.33,1.0,0.8,-1.0,-1.0,-1.0,-1.0,-1.0
22004,22,7,0,0,2.0,3000,0.0086,0.02,3.3621,8,-2.857,4.15,2.69,1.9,1.42,1.12,0.95,0.8,-1.0,-1.0,-1.0,-1.0
22005,22,8,0,0,4.0,3000,0.0086,0.02,2.9885,9,-2.857,4.17,2.95,2.2,1.71,1.38,1.17,1.02,0.9,-1.0,-1.0,-1.0
22006,22,9,0,0,6.0,3000,0.0086,0.02,3.4931,10,-2.857,4.17,2.9,2.15,1.66,1.34,1.13,0.98,0.86,-1.0,0.77,-1.0
22007,22,10,0,0,8.0,3000,0.0086,0.02,3.7356,11,-2.857,4.17,2.73,1.94,1.49,1.21,1.04,0.92,0.84,-1.0,0.78,0.72
42000,42,0,1,0,0.0,0,0.013,0.22,3.73,5,-2.27,2.2,1.64,1.28,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42001,42,1,0,0,0.0,800,0.0117,0.22,3.18,6,-2.27,2.89,1.99,1.49,1.16,0.94,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42002,42,2,0,0,0.0,1600,0.0104,0.16,3.18,6,-2.27,2.89,1.99,1.49,1.16,0.94,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42003,42,3,0,0,0.0,2400,0.0091,0.02,3.36,7,-2.27,4.14,2.67,1.82,1.33,1.0,0.8,-1.0,-1.0,-1.0,-1.0,-1.0
42004,42,7,0,0,6.0,3000,0.0091,0.02,3.3629,8,-2.27,4.15,2.69,1.9,1.42,1.12,0.95,0.8,-1.0,-1.0,-1.0,-1.0
42005,42,8,0,0,8.0,3000,0.0091,0.02,2.9892,9,-2.27,4.17,2.95,2.2,1.71,1.38,1.17,1.02,0.9,-1.0,-1.0,-1.0
42006,42,9,0,0,10.0,3000,0.0091,0.02,3.4939,10,-2.27,4.17,2.9,2.15,1.66,1.34,1.13,0.98,0.86,-1.0,0.77,-1.0
42007,42,10,0,0,12.0,3000,0.0091,0.02,3.7365,11,-2.27,4.17,2.73,1.94,1.49,1.21,1.04,0.92,0.84,-1.0,0.78,0.72
44000,44,0,1,0,0.0,0,0.0119,0.16,3.45,7,-2.5,2.68,1.8,1.29,1.0,0.75,0.5,-1.0,-1.0,-1.0,-1.0,-1.0
44002,44,2,0,0,0.0,1600,0.0096,0.16,3.45,7,-2.5,2.68,1.8,1.29,1.0,0.75,0.5,-1.0,-1.0,-1.0,-1.0,-1.0
44003,44,3,0,0,0.0,2400,0.0084,0.02,2.2,7,-2.5,4.14,2.67,1.82,1.33,1.0,0.8,-1.0,-1.0,-1.0,-1.0,-1.0
44004,44,7,0,0,2.0,3000,0.0084,0.02,3.2973,8,-2.5,4.15,2.69,1.9,1.42,1.12,0.95,0.8,-1.0,-1.0,-1.0,-1.0
44005,44,8,0,0,4.0,3000,0.0084,0.02,2.931,9,-2.5,4.17,2.95,2.2,1.71,1.38,1.17,1.02,0.9,-1.0,-1.0,-1.0
44006,44,9,0,0,6.0,3000,0.0084,0.02,3.4258,10,-2.5,4.17,2.9,2.15,1.66,1.34,1.13,0.98,0.86,-1.0,0.77,-1.0
44007,44,10,0,0,8.0,3000,0.0084,0.02,3.6637,11,-2.5,4.17,2.73,1.94,1.49,1.21,1.04,0.92,0.84,-1.0,0.78,0.72
45000,45,0,1,0,0.0,0,0.0092,0.16,4.44,7,-2.91,3.2,1.87,1.36,1.07,0.9,0.75,-1.0,-1.0,-1.0,-1.0,-1.0
45002,45,2,0,0,0.0,1600,0.0074,0.16,4.44,7,-2.91,3.2,1.87,1.36,1.07,0.9,0.75,-1.0,-1.0,-1.0,-1.0,-1.0
45003,45,3,0,0,0.0,2400,0.0065,0.02,4.16,7,-2.91,4.14,2.67,1.82,1.33,1.0,0.8,-1.0,-1.0,-1.0,-1.0,-1.0
45004,45,7,0,0,2.0,3000,0.0065,0.02,4.0931,8,-2.91,4.15,2.69,1.9,1.42,1.12,0.95,0.8,-1.0,-1.0,-1.0,-1.0
45005,45,8,0,0,4.0,3000,0.0065,0.02,3.6383,9,-2.91,4.17,2.95,2.2,1.71,1.38,1.17,1.02,0.9,-1.0,-1.0,-1.0
45006,45,9,0,0,6.0,3000,0.0065,0.02,4.2525,10,-2.91,4.17,2.9,2.15,1.66,1.34,1.13,0.98,0.86,-1.0,0.77,-1.0
45007,45,10,0,0,8.0,3000,0.0065,0.02,4.5478,11,-2.91,4.17,2.73,1.94,1.49,1.21,1.04,0.92,0.84,-1.0,0.78,0.72
47000,47,2,1,0,0.0,0,0.0091,0.16,3.364,7,-2.79,2.875,1.772,1.266,1.0,0.83,0.711,-1.0,-1.0,-1.0,-1.0,-1.0
47003,47,3,0,0,0.0,2400,0.0082,0.02,2.99,7,-2.79,4.14,2.67,1.82,1.33,1.0,0.8,-1.0,-1.0,-1.0,-1.0,-1.0
47004,47,7,0,0,2.0,3000,0.0082,0.02,3.1046,8,-2.79,4.15,2.69,1.9,1.42,1.12,0.95,0.8,-1.0,-1.0,-1.0,-1.0
47005,47,8,0,0,4.0,3000,0.0082,0.02,2.7597,9,-2.79,4.17,2.95,2.2,1.71,1.38,1.17,1.02,0.9,-1.0,-1.0,-1.0
47006,47,9,0,0,6.0,3000,0.0082,0.02,3.2256,10,-2.79,4.17,2.9,2.15,1.66,1.34,1.13,0.98,0.86,-1.0,0.77,-1.0
47007,47,10,0,0,8.0,3000,0.0082,0.02,3.4496,11,-2.79,4.17,2.73,1.94,1.49,1.21,1.04,0.92,0.84,-1.0,0.78,0.72
48000,48,0,1,0,0.0,0,0.0111,0.16,4.53,7,-3.25,3.17,2.05,1.48,1.17,0.92,0.72,-1.0,-1.0,-1.0,-1.0,-1.0
48002,48,2,0,0,0.0,1600,0.0089,0.16,4.53,7,-3.25,3.17,2.05,1.48,1.17,0.92,0.72,-1.0,-1.0,-1.0,-1.0,-1.0
48003,48,3,0,0,0.0,2400,0.0077,0.02,3.76,7,-3.25,4.14,2.67,1.82,1.33,1.0,0.8,-1.0,-1.0,-1.0,-1.0,-1.0
48004,48,7,0,0,2.0,3000,0.0077,0.02,3.7577,8,-3.25,4.15,2.69,1.9,1.42,1.12,0.95,0.8,-1.0,-1.0,-1.0,-1.0
48005,48,8,0,0,4.0,3000,0.0077,0.02,3.3401,9,-3.25,4.17,2.95,2.2,1.71,1.38,1.17,1.02,0.9,-1.0,-1.0,-1.0
48006,48,9,0,0,6.0,3000,0.0077,0.02,3.9041,10,-3.25,4.17,2.9,2.15,1.66,1.34,1.13,0.98,0.86,-1.0,0.77,-1.0
48007,48,10,0,0,8.0,3000,0.0077,0.02,4.1752,11,-3.25,4.17,2.73,1.94,1.49,1.21,1.04,0.92,0.84,-1.0,0.78,0.72
49000,49,0,1,0,0.0,0,0.0096,0.04,3.1,7,-2.99,2.616,2.031,1.667,1.353,1.0,0.8,-1.0,-1.0,-1.0,-1.0,-1.0
49001,49,3,0,0,0.0,2400,0.0067,0.02,3.1,7,-2.99,4.14,2.67,1.82,1.33,1.0,0.8,-1.0,-1.0,-1.0,-1.0,-1.0
49002,49,7,0,0,2.0,3000,0.0067,0.02,3.3903,8,-2.99,4.15,2.69,1.9,1.42,1.12,0.95,0.8,-1.0,-1.0,-1.0,-1.0
49003,49,8,0,0,4.0,3000,0.0067,0.02,3.0136,9,-2.99,4.17,2.95,2.2,1.71,1.38,1.17,1.02,0.9,-1.0,-1.0,-1.0
49004,49,9,0,0,6.0,3000,0.0067,0.02,3.5224,10,-2.99,4.17,2.9,2.15,1.66,1.34,1.13,0.98,0.86,-1.0,0.77,-1.0
49005,49,10,0,0,8.0,3000,0.0067,0.02,3.767,11,-2.99,4.17,2.73,1.94,1.49,1.21,1.04,0.92,0.84,-1.0,0.78,0.72
50000,50,1,1,0,0.0,0,0.0096,0.08,4.44,7,-2.565,3.29,2.16,1.61,1.27,1.03,0.84,-1.0,-1.0,-1.0,-1.0,-1.0
50002,50,2,0,0,0.0,1600,0.0086,0.08,4.44,7,-2.565,3.29,2.16,1.61,1.27,1.03,0.84,-1.0,-1.0,-1.0,-1.0,-1.0
50003,50,3,0,0,0.0,2400,0.0076,0.02,4.24,7,-2.565,4.14,2.67,1.82,1.33,1.0,0.8,-1.0,-1.0,-1.0,-1.0,-1.0
50004,50,7,0,0,2.0,3000,0.0076,0.02,4.2391,8,-2.565,4.15,2.69,1.9,1.42,1.12,0.95,0.8,-1.0,-1.0,-1.0,-1.0
50005,50,8,0,0,4.0,3000,0.0076,0.02,3.7681,9,-2.565,4.17,2.95,2.2,1.71,1.38,1.17,1.02,0.9,-1.0,-1.0,-1.0
50006,50,9,0,0,6.0,3000,0.0076,0.02,4.4043,10,-2.565,4.17,2.9,2.15,1.66,1.34,1.13,0.98,0.86,-1.0,0.77,-1.0
50007,50,10,0,0,8.0,3000,0.0076,0.02,4.7101,11,-2.565,4.17,2.73,1.94,1.49,1.21,1.04,0.92,0.84,-1.0,0.78,0.72
52000,52,0,1,0,0.0,0,0.0128,0.22,4.1,5,-2.26,2.199,1.64,1.274,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
52001,52,1,0,0,0.0,800,0.0115,0.22,3.29,6,-2.26,2.89,1.99,1.49,1.16,0.94,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
52002,52,2,0,0,0.0,1600,0.0102,0.16,3.29,6,-2.26,2.89,1.99,1.49,1.16,0.94,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
52003,52,3,0,0,0.0,2400,0.0089,0.02,3.48,7,-2.26,4.14,2.67,1.82,1.33,1.0,0.8,-1.0,-1.0,-1.0,-1.0,-1.0
52004,52,7,0,0,6.0,3000,0.0089,0.02,3.483,8,-2.26,4.15,2.69,1.9,1.42,1.12,0.95,0.8,-1.0,-1.0,-1.0,-1.0
52005,52,8,0,0,8.0,3000,0.0089,0.02,3.096,9,-2.26,4.17,2.95,2.2,1.71,1.38,1.17,1.02,0.9,-1.0,-1.0,-1.0
52006,52,9,0,0,10.0,3000,0.0089,0.02,3.6187,10,-2.26,4.17,2.9,2.15,1.66,1.34,1.13,0.98,0.86,-1.0,0.77,-1.0
52007,52,10,0,0,12.0,3000,0.0089,0.02,3.87,11,-2.26,4.17,2.73,1.94,1.49,1.21,1.04,0.92,0.84,-1.0,0.78,0.72
55000,55,0,1,0,0.0,0,0.0107,0.16,4.764,7,-3.583,3.266,2.13,1.517,1.212,0.972,0.78,-1.0,-1.0,-1.0,-1.0,-1.0
55001,55,1,0,0,0.0,800,0.0096,0.16,4.51,7,-3.583,4.14,2.67,1.82,1.33,1.0,0.8,-1.0,-1.0,-1.0,-1.0,-1.0
55002,55,2,0,0,0.0,1600,0.0085,0.16,4.51,7,-3.583,4.14,2.67,1.82,1.33,1.0,0.8,-1.0,-1.0,-1.0,-1.0,-1.0
55003,55,3,0,0,0.0,2400,0.0075,0.02,4.06,7,-3.583,4.14,2.67,1.82,1.33,1.0,0.8,-1.0,-1.0,-1.0,-1.0,-1.0
55004,55,7,0,0,2.0,3000,0.0075,0.02,4.0583,8,-3.583,4.15,2.69,1.9,1.42,1.12,0.95,0.8,-1.0,-1.0,-1.0,-1.0
55005,55,8,0,0,4.0,3000,0.0075,0.02,3.6074,9,-3.583,4.17,2.95,2.2,1.71,1.38,1.17,1.02,0.9,-1.0,-1.0,-1.0
55006,55,9,0,0,6.0,3000,0.0075,0.02,4.2164,10,-3.583,4.17,2.9,2.15,1.66,1.34,1.13,0.98,0.86,-1.0,0.77,-1.0
55007,55,10,0,0,8.0,3000,0.0075,0.02,4.5092,11,-3.583,4.17,2.73,1.94,1.49,1.21,1.04,0.92,0.84,-1.0,0.78,0.72
59000,59,0,1,0,0.0,0,0.0108,0.22,3.31,5,-2.32,2.32,1.69,1.29,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
59001,59,1,0,0,0.0,800,0.0097,0.22,3.27,6,-2.32,2.89,1.99,1.49,1.16,0.94,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
59002,59,2,0,0,0.0,1600,0.0086,0.16,3.27,6,-2.32,2.89,1.99,1.49,1.16,0.94,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
59003,59,3,0,0,0.0,2400,0.0075,0.02,3.27,7,-2.32,4.14,2.67,1.82,1.33,1.0,0.8,-1.0,-1.0,-1.0,-1.0,-1.0
59004,59,7,0,0,6.0,3000,0.0075,0.02,3.2738,8,-2.32,4.15,2.69,1.9,1.42,1.12,0.95,0.8,-1.0,-1.0,-1.0,-1.0
59005,59,8,0,0,8.0,3000,0.0075,0.02,2.91,9,-2.32,4.17,2.95,2.2,1.71,1.38,1.17,1.02,0.9,-1.0,-1.0,-1.0
59006,59,9,0,0,10.0,3000,0.0075,0.02,3.4013,10,-2.32,4.17,2.9,2.15,1.66,1.34,1.13,0.98,0.86,-1.0,0.77,-1.0
59007,59,10,0,0,12.0,3000,0.0075,0.02,3.6375,11,-2.32,4.17,2.73,1.94,1.49,1.21,1.04,0.92,0.84,-1.0,0.78,0.72
