Id,Ordinal,Level,IsStock,ManufacturerID,MassDiff,Price,FrontBrakeSize,FrontBrakeSizeMM,FrontBrakeRotorThicknessMM,FrontBrakeDrumDepthMM,FrontBrakeNonSpinningMass,FrontBrakeTypeID,FrontCaliperPistons,RearBrakeSize,RearBrakeSizeMM,RearBrakeRotorThicknessMM,RearBrakeDrumDepthMM,RearBrakeNonSpinningMass,RearBrakeTypeID,RearCaliperPistons,GameFrictionScaleBraking,BrakeTorqueSlider,BrakeBiasSlider,BiasHandbrake,ReleasePointABS,FrontBrakeTorqueClamp,RearBrakeTorqueClamp,DamageModDefID,RequiresGraphics,BrakesProfileID
289000,289,0,1,0,0.0,0,11,298.0,28.0,35.0,5.0,2,4,11,298.0,28.0,35.0,4.0,2,4,1.005,0.5,0.5,1.0,0.71,250.0,250.0,7,1,11
289001,289,1,0,35,-2.0,650,11,298.0,28.0,35.0,5.0,2,4,11,298.0,28.0,35.0,4.0,2,4,1.03,0.5,0.5,1.0,0.71,250.0,250.0,7,1,8
289002,289,2,0,35,-4.0,1300,12,323.4,28.0,35.0,4.0,4,4,12,323.4,28.0,35.0,4.0,4,4,1.21,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
289003,289,3,0,35,-5.0,1950,13,348.8,28.0,35.0,4.0,5,6,13,348.8,28.0,35.0,4.0,5,4,1.37,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
291000,291,1,1,0,0.0,0,12,330.0,32.0,50.0,5.0,2,4,11,300.0,32.0,50.0,4.0,2,2,1.025,0.5,0.5,1.0,0.71,250.0,250.0,7,1,4
291002,291,2,0,81,-2.0,1300,13,355.4,32.0,50.0,4.0,4,4,12,325.4,32.0,50.0,4.0,4,2,1.2,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
291003,291,3,0,81,-4.0,1950,14,380.8,32.0,50.0,4.0,5,6,13,350.8,32.0,50.0,4.0,5,4,1.38,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
292000,292,3,1,0,0.0,0,14,380.0,35.0,65.0,4.0,5,6,14,380.0,35.0,65.0,4.0,5,6,1.35,0.5,0.5,1.0,0.71,250.0,250.0,7,1,3
294000,294,2,1,0,0.0,0,13,340.0,32.0,50.0,4.0,4,6,12,315.0,32.0,50.0,4.0,4,4,1.195,0.5,0.5,1.0,0.71,250.0,250.0,7,1,3
294003,294,3,0,183,-2.0,1950,15,390.8,32.0,50.0,4.0,5,6,14,365.8,32.0,50.0,4.0,5,4,1.385,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
295000,295,0,1,0,0.0,0,10,274.0,28.0,35.0,5.0,2,2,10,269.0,28.0,35.0,4.0,2,2,0.975,0.5,0.5,1.0,0.71,250.0,250.0,7,1,30
295001,295,1,0,255,-2.0,650,10,274.0,28.0,35.0,5.0,2,2,10,269.0,28.0,35.0,4.0,2,2,1.0,0.5,0.5,1.0,0.71,250.0,250.0,7,1,8
295002,295,2,0,255,-4.0,1300,11,299.4,28.0,35.0,4.0,4,4,11,294.4,28.0,35.0,4.0,4,2,1.175,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
295003,295,3,0,255,-5.0,1950,12,324.8,28.0,35.0,4.0,5,6,12,319.8,28.0,35.0,4.0,5,4,1.365,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
296000,296,2,1,0,0.0,0,14,378.0,35.0,65.0,4.0,4,6,12,330.0,32.0,50.0,4.0,4,4,1.205,0.5,0.5,1.0,0.71,250.0,250.0,7,1,2
296003,296,3,0,260,-2.0,1950,15,381.0,35.0,65.0,4.0,5,6,14,380.8,32.0,50.0,4.0,5,4,1.395,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
297000,297,3,1,0,0.0,0,15,381.0,35.0,65.0,4.0,5,6,13,350.0,35.0,65.0,4.0,5,4,1.345,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
299000,299,0,1,0,0.0,0,11,280.0,28.0,35.0,5.0,2,2,9,241.0,25.0,25.0,4.0,1,2,0.945,0.5,0.5,1.0,0.71,250.0,250.0,7,1,16
299001,299,1,0,35,-2.0,650,11,280.0,28.0,35.0,5.0,2,2,9,241.0,25.0,25.0,4.0,1,2,0.97,0.5,0.5,1.0,0.71,250.0,250.0,7,1,8
299002,299,2,0,35,-4.0,1300,12,305.4,28.0,35.0,4.0,4,4,10,266.4,25.0,25.0,4.0,4,2,1.175,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
299003,299,3,0,35,-5.0,1950,13,330.8,28.0,35.0,4.0,5,6,11,291.8,25.0,25.0,4.0,5,4,1.36,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
302000,302,1,1,0,0.0,0,11,300.0,32.0,50.0,5.0,2,2,10,259.0,28.0,35.0,4.0,2,2,1.005,0.5,0.5,1.0,0.71,250.0,250.0,7,1,12
302002,302,2,0,180,-2.0,1300,12,325.4,32.0,50.0,4.0,4,4,11,284.4,28.0,35.0,4.0,4,2,1.175,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
302003,302,3,0,180,-4.0,1950,13,350.8,32.0,50.0,4.0,5,6,12,309.8,28.0,35.0,4.0,5,4,1.365,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
306000,306,0,1,0,0.0,0,11,287.0,28.0,35.0,5.0,2,2,11,287.0,28.0,35.0,4.0,2,2,0.985,0.5,0.5,1.0,0.71,250.0,250.0,7,1,11
306001,306,1,0,235,-2.0,650,11,287.0,28.0,35.0,5.0,2,2,11,287.0,28.0,35.0,4.0,2,2,1.01,0.5,0.5,1.0,0.71,250.0,250.0,7,1,8
306002,306,2,0,235,-4.0,1300,12,312.4,28.0,35.0,4.0,4,4,12,312.4,28.0,35.0,4.0,4,2,1.18,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
306003,306,3,0,235,-5.0,1950,13,337.8,28.0,35.0,4.0,5,6,13,337.8,28.0,35.0,4.0,5,4,1.37,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
309000,309,0,1,0,0.0,0,11,280.0,28.0,35.0,5.0,2,2,8,226.0,25.0,25.0,4.0,2,2,0.97,0.5,0.5,1.0,0.71,250.0,250.0,7,1,13
309001,309,1,0,294,-2.0,650,11,280.0,28.0,35.0,5.0,2,2,8,226.0,25.0,25.0,4.0,2,2,0.995,0.5,0.5,1.0,0.71,250.0,250.0,7,1,8
309002,309,2,0,294,-4.0,1300,12,305.4,28.0,35.0,4.0,4,4,9,251.4,25.0,25.0,4.0,4,2,1.17,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
309003,309,3,0,294,-5.0,1950,13,330.8,28.0,35.0,4.0,5,6,10,276.8,25.0,25.0,4.0,5,4,1.36,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
312000,312,0,1,0,0.0,0,11,298.0,28.0,35.0,5.0,2,2,11,298.0,28.0,35.0,4.0,2,2,0.985,0.5,0.5,1.0,0.71,250.0,250.0,7,1,11
312001,312,1,0,35,-2.0,650,11,298.0,28.0,35.0,5.0,2,2,11,298.0,28.0,35.0,4.0,2,2,1.01,0.5,0.5,1.0,0.71,250.0,250.0,7,1,8
312002,312,2,0,35,-4.0,1300,12,323.4,28.0,35.0,4.0,4,4,12,323.4,28.0,35.0,4.0,4,2,1.18,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
312003,312,3,0,35,-5.0,1950,13,348.8,28.0,35.0,4.0,5,6,13,348.8,28.0,35.0,4.0,5,4,1.37,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
314000,314,0,1,0,0.0,0,12,325.0,32.0,50.0,5.0,2,4,11,300.0,32.0,50.0,4.0,2,2,1.0,0.5,0.5,1.0,0.71,250.0,250.0,7,1,19
314001,314,1,0,35,-2.0,650,12,325.0,32.0,50.0,5.0,2,4,11,300.0,32.0,50.0,4.0,2,2,1.025,0.5,0.5,1.0,0.71,250.0,250.0,7,1,8
314002,314,2,0,35,-4.0,1300,13,350.4,32.0,50.0,4.0,4,4,12,325.4,32.0,50.0,4.0,4,2,1.2,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
314003,314,3,0,35,-5.0,1950,14,375.8,32.0,50.0,4.0,5,6,13,350.8,32.0,50.0,4.0,5,4,1.375,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
315000,315,0,1,0,0.0,0,11,297.0,28.0,35.0,5.0,2,4,11,297.0,28.0,35.0,4.0,2,4,1.005,0.5,0.5,1.0,0.71,250.0,250.0,7,1,11
315001,315,1,0,35,-2.0,650,11,297.0,28.0,35.0,5.0,2,4,11,297.0,28.0,35.0,4.0,2,4,1.03,0.5,0.5,1.0,0.71,250.0,250.0,7,1,8
315002,315,2,0,35,-4.0,1300,12,322.4,28.0,35.0,4.0,4,4,12,322.4,28.0,35.0,4.0,4,4,1.21,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
315003,315,3,0,35,-5.0,1950,13,347.8,28.0,35.0,4.0,5,6,13,347.8,28.0,35.0,4.0,5,4,1.37,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
316000,316,0,1,0,0.0,0,11,300.0,32.0,50.0,5.0,2,4,11,284.0,28.0,35.0,4.0,2,4,1.005,0.5,0.5,1.0,0.71,250.0,250.0,7,1,2
316001,316,1,0,54,-2.0,650,11,300.0,32.0,50.0,5.0,2,4,11,284.0,28.0,35.0,4.0,2,4,1.03,0.5,0.5,1.0,0.71,250.0,250.0,7,1,8
316002,316,2,0,54,-4.0,1300,12,325.4,32.0,50.0,4.0,4,4,12,309.4,28.0,35.0,4.0,4,4,1.205,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
316003,316,3,0,54,-5.0,1950,13,350.8,32.0,50.0,4.0,5,6,13,334.8,28.0,35.0,4.0,5,4,1.37,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
320000,320,0,1,0,0.0,0,10,262.0,28.0,35.0,5.0,2,2,9,238.0,25.0,25.0,4.0,2,2,0.97,0.5,0.5,1.0,0.71,250.0,250.0,7,1,13
320001,320,1,0,180,-2.0,650,10,262.0,28.0,35.0,5.0,2,2,9,238.0,25.0,25.0,4.0,2,2,0.995,0.5,0.5,1.0,0.71,250.0,250.0,7,1,8
320002,320,2,0,180,-4.0,1300,11,287.4,28.0,35.0,4.0,4,4,10,263.4,25.0,25.0,4.0,4,2,1.165,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
320003,320,3,0,180,-5.0,1950,12,312.8,28.0,35.0,4.0,5,6,11,288.8,25.0,25.0,4.0,5,4,1.355,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
324000,324,2,1,0,0.0,0,13,355.0,35.0,65.0,4.0,4,4,13,335.0,32.0,50.0,4.0,4,4,1.2,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
324003,324,3,0,54,-2.0,1950,15,405.8,35.0,65.0,4.0,5,6,15,385.8,32.0,50.0,4.0,5,4,1.39,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
325000,325,1,1,0,0.0,0,13,355.0,35.0,65.0,5.0,3,4,13,355.0,35.0,65.0,4.0,3,4,1.1,0.5,0.5,1.0,0.71,250.0,250.0,7,1,2
325002,325,2,0,54,-2.0,1300,14,380.4,35.0,65.0,4.0,4,4,14,380.4,35.0,65.0,4.0,4,4,1.23,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
325003,325,3,0,54,-4.0,1950,15,405.8,35.0,65.0,4.0,5,6,15,405.8,35.0,65.0,4.0,5,4,1.39,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
326000,326,0,1,0,0.0,0,10,270.0,28.0,35.0,5.0,2,2,10,254.0,28.0,35.0,4.0,2,2,0.975,0.5,0.5,1.0,0.71,250.0,250.0,7,1,11
326001,326,1,0,142,-2.0,650,10,270.0,28.0,35.0,5.0,2,2,10,254.0,28.0,35.0,4.0,2,2,1.0,0.5,0.5,1.0,0.71,250.0,250.0,7,1,8
326002,326,2,0,142,-4.0,1300,11,295.4,28.0,35.0,4.0,4,4,11,279.4,28.0,35.0,4.0,4,2,1.17,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
326003,326,3,0,142,-5.0,1950,12,320.8,28.0,35.0,4.0,5,6,12,304.8,28.0,35.0,4.0,5,4,1.36,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
327000,327,0,1,0,0.0,0,10,274.0,28.0,35.0,5.0,2,4,10,262.0,28.0,35.0,4.0,2,2,0.985,0.5,0.5,1.0,0.71,250.0,250.0,7,1,6
327001,327,1,0,116,-2.0,650,10,274.0,28.0,35.0,5.0,2,4,10,262.0,28.0,35.0,4.0,2,2,1.01,0.5,0.5,1.0,0.71,250.0,250.0,7,1,8
327002,327,2,0,116,-4.0,1300,11,299.4,28.0,35.0,4.0,4,4,11,287.4,28.0,35.0,4.0,4,2,1.185,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
327003,327,3,0,116,-5.0,1950,12,324.8,28.0,35.0,4.0,5,6,12,312.8,28.0,35.0,4.0,5,4,1.365,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
330000,330,0,1,0,0.0,0,10,254.0,28.0,35.0,5.0,2,2,10,254.0,28.0,35.0,4.0,2,2,0.975,0.5,0.5,1.0,0.71,250.0,250.0,7,1,2
330001,330,1,0,199,-2.0,650,10,254.0,28.0,35.0,5.0,2,2,10,254.0,28.0,35.0,4.0,2,2,1.0,0.5,0.5,1.0,0.71,250.0,250.0,7,1,8
330002,330,2,0,199,-4.0,1300,11,279.4,28.0,35.0,4.0,4,4,11,279.4,28.0,35.0,4.0,4,2,1.17,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
330003,330,3,0,199,-5.0,1950,12,304.8,28.0,35.0,4.0,5,6,12,304.8,28.0,35.0,4.0,5,4,1.36,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
333000,333,3,1,0,0.0,0,15,381.0,35.0,65.0,4.0,5,6,15,381.0,35.0,65.0,4.0,5,4,1.35,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
336000,336,0,1,0,0.0,0,10,279.0,28.0,35.0,5.0,2,2,10,254.0,28.0,35.0,4.0,2,2,0.975,0.5,0.5,1.0,0.71,250.0,250.0,7,1,11
336001,336,1,0,220,-2.0,650,10,279.0,28.0,35.0,5.0,2,2,10,254.0,28.0,35.0,4.0,2,2,1.0,0.5,0.5,1.0,0.71,250.0,250.0,7,1,8
336002,336,2,0,220,-4.0,1300,11,304.4,28.0,35.0,4.0,4,4,11,279.4,28.0,35.0,4.0,4,2,1.175,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
336003,336,3,0,220,-5.0,1950,12,329.8,28.0,35.0,4.0,5,6,12,304.8,28.0,35.0,4.0,5,4,1.365,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
338000,338,2,1,0,0.0,0,13,332.0,32.0,50.0,4.0,3,4,12,305.0,32.0,50.0,4.0,3,4,1.115,0.5,0.5,1.0,0.71,250.0,250.0,7,1,2
338003,338,3,0,193,-2.0,1950,15,382.8,32.0,50.0,4.0,5,6,14,355.8,32.0,50.0,4.0,5,4,1.385,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
340000,340,1,1,0,0.0,0,12,330.0,32.0,50.0,5.0,3,4,12,330.0,32.0,50.0,4.0,3,4,1.09,0.5,0.5,1.0,0.71,250.0,250.0,7,1,2
340002,340,2,0,142,-2.0,1300,13,355.4,32.0,50.0,4.0,4,4,13,355.4,32.0,50.0,4.0,4,4,1.22,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
340003,340,3,0,142,-4.0,1950,14,380.8,32.0,50.0,4.0,5,6,14,380.8,32.0,50.0,4.0,5,4,1.39,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
342000,342,2,1,0,0.0,0,13,355.0,35.0,65.0,4.0,3,6,13,335.0,32.0,50.0,4.0,3,4,1.125,0.5,0.5,1.0,0.71,250.0,250.0,7,1,2
342003,342,3,0,142,-2.0,1950,15,405.8,35.0,65.0,4.0,5,6,15,385.8,32.0,50.0,4.0,5,4,1.39,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
343000,343,0,1,0,0.0,0,10,260.0,28.0,35.0,5.0,2,2,8,228.0,25.0,25.0,4.0,1,2,0.945,0.5,0.5,1.0,0.71,250.0,250.0,7,1,10
343001,343,1,0,206,-2.0,650,10,260.0,28.0,35.0,5.0,2,2,8,228.0,25.0,25.0,4.0,1,2,0.97,0.5,0.5,1.0,0.71,250.0,250.0,7,1,8
343002,343,2,0,206,-4.0,1300,11,285.4,28.0,35.0,4.0,4,4,9,253.4,25.0,25.0,4.0,4,2,1.165,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
343003,343,3,0,206,-5.0,1950,12,310.8,28.0,35.0,4.0,5,6,10,278.8,25.0,25.0,4.0,5,4,1.355,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
344000,344,0,1,0,0.0,0,12,324.0,32.0,50.0,5.0,2,4,12,322.0,32.0,50.0,4.0,2,2,1.005,0.5,0.5,1.0,0.71,250.0,250.0,7,1,6
344001,344,1,0,206,-2.0,650,12,324.0,32.0,50.0,5.0,2,4,12,322.0,32.0,50.0,4.0,2,2,1.03,0.5,0.5,1.0,0.71,250.0,250.0,7,1,8
344002,344,2,0,206,-4.0,1300,13,349.4,32.0,50.0,4.0,4,4,13,347.4,32.0,50.0,4.0,4,2,1.205,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
344003,344,3,0,206,-5.0,1950,14,374.8,32.0,50.0,4.0,5,6,14,372.8,32.0,50.0,4.0,5,4,1.38,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
345000,345,0,1,0,0.0,0,11,280.0,28.0,35.0,5.0,2,4,11,297.0,28.0,35.0,4.0,2,2,0.995,0.5,0.5,1.0,0.71,250.0,250.0,7,1,6
345001,345,1,0,206,-2.0,650,11,280.0,28.0,35.0,5.0,2,4,11,297.0,28.0,35.0,4.0,2,2,1.02,0.5,0.5,1.0,0.71,250.0,250.0,7,1,8
345002,345,2,0,206,-4.0,1300,12,305.4,28.0,35.0,4.0,4,4,12,322.4,28.0,35.0,4.0,4,2,1.19,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
345003,345,3,0,206,-5.0,1950,13,330.8,28.0,35.0,4.0,5,6,13,347.8,28.0,35.0,4.0,5,4,1.37,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
348000,348,2,1,0,0.0,0,13,355.0,35.0,65.0,4.0,3,4,13,335.0,32.0,50.0,4.0,3,4,1.12,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
348003,348,3,0,167,-2.0,1950,15,405.8,35.0,65.0,4.0,5,6,15,385.8,32.0,50.0,4.0,5,4,1.39,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
353000,353,0,1,0,0.0,0,10,256.0,28.0,35.0,5.0,2,2,8,226.0,25.0,25.0,4.0,2,2,0.97,0.5,0.5,1.0,0.71,250.0,250.0,7,1,13
353001,353,1,0,294,-2.0,650,10,256.0,28.0,35.0,5.0,2,2,8,226.0,25.0,25.0,4.0,2,2,0.995,0.5,0.5,1.0,0.71,250.0,250.0,7,1,8
353002,353,2,0,294,-4.0,1300,11,281.4,28.0,35.0,4.0,4,4,9,251.4,25.0,25.0,4.0,4,2,1.165,0.5,0.5,1.0,0.71,250.0,250.0,7,1,1
353003,353,3,0,294,-5.0,1950,12,306.8,28.0,35.0,4.0,5,6,10,276.8,25.0,25.0,4.0,5,4,1.355,0.5,0.5,1.0,0.71,250.0,250.0,7,1,15
354000,354,1,1,0,0.0,0,13,334.0,32.0,50.0,5.0,2,4,10,256.0,28.0,35.0,4.0,2,2,1.02,0.5,0.5,1.0,0.71,250.0,250.0,7,1,12
